launch_year,staff pick (Projects We Love),has_video_unreliable
2014,0.23148148148148148,0
2015,0.2809917355371901,0
2016,0.20912547528517111,0
2017,0.10732984293193717,0
2018,0.09192825112107623,0
2019,0.11754966887417219,0
2020,0.09562841530054644,0
2021,0.08066581306017925,0
2022,0.1842818428184282,0.01084010840108401
2023,0.12857142857142856,0.02857142857142857
2024,0.11179039301310044,0.4777292576419214
2025,0.14227642276422764,0.47459349593495936
2026,0.13259668508287292,0.4558011049723757
