launch_year,success_rate,n,source
2009,0.6666666666666666,9,ICPSR (2009-2023)
2010,0.43636363636363634,55,ICPSR (2009-2023)
2011,0.49795918367346936,245,ICPSR (2009-2023)
2012,0.5625,816,ICPSR (2009-2023)
2013,0.6179702650290886,1547,ICPSR (2009-2023)
2014,0.6557288864981172,1859,ICPSR (2009-2023)
2015,0.6628895184135978,2118,ICPSR (2009-2023)
2016,0.7017114914425427,2454,ICPSR (2009-2023)
2017,0.7417078334509527,2834,ICPSR (2009-2023)
2018,0.7715318869165023,3042,ICPSR (2009-2023)
2019,0.7993537015276145,3404,ICPSR (2009-2023)
2020,0.8177618069815195,3896,ICPSR (2009-2023)
2021,0.8345882352941176,4250,ICPSR (2009-2023)
2022,0.84940138626339,4761,ICPSR (2009-2023)
2023,0.8641975308641975,5508,ICPSR (2009-2023)
2009,0.625,8,Kaggle (2009-2018)
2010,0.4107142857142857,56,Kaggle (2009-2018)
2011,0.5,242,Kaggle (2009-2018)
2012,0.5574572127139364,818,Kaggle (2009-2018)
2013,0.6165267914783732,1549,Kaggle (2009-2018)
2014,0.6555435952637244,1858,Kaggle (2009-2018)
2015,0.6636750118091639,2117,Kaggle (2009-2018)
2016,0.7023907666941468,2426,Kaggle (2009-2018)
2017,0.7411985018726591,2670,Kaggle (2009-2018)
