launch_year,group,n,success_rate
2009,all tabletop,8,0.625
2010,all tabletop,56,0.4107142857142857
2011,all tabletop,242,0.5
2012,all tabletop,818,0.5574572127139364
2013,all tabletop,1549,0.6165267914783732
2014,all tabletop,1858,0.6555435952637244
2015,all tabletop,2117,0.6636750118091639
2016,all tabletop,2426,0.7023907666941468
2017,all tabletop,2670,0.7411985018726591
2010,TTRPG (name-only),5,0.6
2011,TTRPG (name-only),16,0.5
2012,TTRPG (name-only),73,0.6712328767123288
2013,TTRPG (name-only),150,0.74
2014,TTRPG (name-only),175,0.7828571428571428
2015,TTRPG (name-only),196,0.8163265306122449
2016,TTRPG (name-only),235,0.8382978723404255
2017,TTRPG (name-only),277,0.8880866425992779
