term,coef,se,p,axis,level,mult,lo,hi
system_familydnd5e,0.1181749239056064,0.02180011366919427,6.369628356353656e-8,system,dnd5e,1.3127285296438191,1.189725310899155,1.4484487946536528
system_familypathfinder,0.014254568125694228,0.03815410306491978,0.708722744976666,system,pathfinder,1.033366951572163,0.8699064002191949,1.2275427061261697
system_familyosr,0.09755658641329434,0.023226608742262414,2.7390782971792758e-5,system,osr,1.2518623738535883,1.127281638857175,1.3902110608836928
system_familypbta_fitd,0.0015607820526010695,0.04085400170548066,0.9695274846908466,system,pbta_fitd,1.0036002990503656,0.8346164470339238,1.206798121260896
system_familyother_named,0.15310296381136046,0.045668759005037855,8.102091112262452e-4,system,other_named,1.4226660369857873,1.1576897713982854,1.7482910385812909
product_typeadventure,-0.024704204436281373,0.018004184428378065,0.17011651561478272,product type,adventure,0.9447040899342631,0.8709788197802019,1.0246699429083073
product_typesetting,0.03164171185706235,0.02143940733062508,0.1400774919321399,product type,setting,1.0755775079616319,0.9763835941249376,1.1848488469019915
product_typesupplement,0.07988709599008757,0.027999874464618355,0.004356834504367318,product type,supplement,1.2019519212456615,1.0592716327231717,1.3638507596697718
product_typebestiary,0.03835880372386477,0.027471306836930443,0.16271373811880946,product type,bestiary,1.0923424309688832,0.9649727342441503,1.2365240427540534
product_typegm_tools,0.03740791876061337,0.04804954834725658,0.4363150645423618,product type,gm_tools,1.089953370641617,0.8774670234599569,1.353895153220235
product_typezine,-0.11248069676193957,0.025073248124888366,7.508360271625723e-6,product type,zine,0.771825820433621,0.6892483528520307,0.8642967293618206
product_typeother,-0.019004661231983827,0.02416014481683193,0.43156693900751764,product type,other,0.9571837978977317,0.8583046293223343,1.0674541318521173
